alpha,-2,,alpha ,0,,alpha ,5,,alpha,10,,alpha,15,,alpha,17,
x,y,Cp,x,y,Cp,x,y,Cp,x,y,Cp,x,y,Cp,x,y,Cp
0.51725,-0.06636,-0.46225,0.51725,-0.06636,-0.3546,0.51725,-0.06636,-0.14863,0.51725,-0.06636,-0.02009,0.51725,-0.06636,0.05279,0.51725,-0.06636,0.24864
0.53339,-0.06459,-0.45364,0.53339,-0.06459,-0.34288,0.53339,-0.06459,-0.13693,0.53339,-0.06459,-0.01623,0.53339,-0.06459,0.0499,0.53339,-0.06459,0.24293
0.5496,-0.06271,-0.44602,0.5496,-0.06271,-0.33253,0.5496,-0.06271,-0.12491,0.5496,-0.06271,-0.01223,0.5496,-0.06271,0.04768,0.5496,-0.06271,0.23736
0.56586,-0.06071,-0.43875,0.56586,-0.06071,-0.32352,0.56586,-0.06071,-0.1128,0.56586,-0.06071,-0.00739,0.56586,-0.06071,0.04543,0.56586,-0.06071,0.23194
0.58217,-0.05861,-0.43115,0.58217,-0.05861,-0.31551,0.58217,-0.05861,-0.10059,0.58217,-0.05861,-0.00203,0.58217,-0.05861,0.04454,0.58217,-0.05861,0.22785
0.59853,-0.0564,-0.39332,0.59853,-0.0564,-0.30802,0.59853,-0.0564,-0.08874,0.59853,-0.0564,0.00365,0.59853,-0.0564,0.04372,0.59853,-0.0564,0.22435
0.61492,-0.05411,-0.24675,0.61492,-0.05411,-0.30053,0.61492,-0.05411,-0.0774,0.61492,-0.05411,0.00998,0.61492,-0.05411,0.04369,0.61492,-0.05411,0.22232
0.63137,-0.05173,-0.19366,0.63137,-0.05173,-0.29248,0.63137,-0.05173,-0.06689,0.63137,-0.05173,0.01649,0.63137,-0.05173,0.04398,0.63137,-0.05173,0.21946
0.64787,-0.04927,-0.17521,0.64787,-0.04927,-0.16984,0.64787,-0.04927,-0.05734,0.64787,-0.04927,0.02362,0.64787,-0.04927,0.0449,0.64787,-0.04927,0.21749
0.66441,-0.04675,-0.16041,0.66441,-0.04675,-0.10624,0.66441,-0.04675,-0.04873,0.66441,-0.04675,0.0309,0.66441,-0.04675,0.04598,0.66441,-0.04675,0.21632
0.681,-0.04416,-0.14364,0.681,-0.04416,-0.08554,0.681,-0.04416,-0.04085,0.681,-0.04416,0.03848,0.681,-0.04416,0.04753,0.681,-0.04416,0.21552
0.69764,-0.04151,-0.12476,0.69764,-0.04151,-0.07237,0.69764,-0.04151,-0.03359,0.69764,-0.04151,0.04617,0.69764,-0.04151,0.04929,0.69764,-0.04151,0.21473
0.71433,-0.03881,-0.104,0.71433,-0.03881,-0.05767,0.71433,-0.03881,-0.02686,0.71433,-0.03881,0.05413,0.71433,-0.03881,0.0513,0.71433,-0.03881,0.21497
